time,year,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,statID,locationSource,magSource
2021-10-03T01:39:18.557Z,2021,31.7055964,-104.0238823,8.136791992,4,ml,23,68,0.027343481,0.1,TX,TX2021tiop,2021-10-04T14:06:20.066Z,"40 km W of Mentone, Texas",earthquake,0.696121521,0.592458153,0.2,13,reviEWed,TX,TX
2021-10-02T23:47:42.725Z,2021,44.2742,-115.0271,12.41,4,mwr,,66,0.838,0.67,ID,ID6000fr7b,2021-10-12T17:59:58.722Z,"9 km NW of Stanley, Idaho",earthquake,3.3,10.6,0.032,91,reviEWed,ID,ID
2021-09-23T07:52:06.555Z,2021,31.59306805,-104.0034225,8.805200195,4.3,ml,28,54,0.07254039,0.2,TX,TX2021sqTX,2021-10-17T12:12:01.674Z,"36 km NVW of Toyah, Texas",earthquake,0.891920488,0.903369239,0.2,14,reviEWed,TX,TX
2021-09-19T04:18:15.397Z,2021,44.3347,-115.1247,10,4,mwr,,49,0.927,0.96,ID,ID7000fckm,2021-10-14T04:27:05.043Z,"19 km NW of Stanley, Idaho",earthquake,1.5,2,0.04,59,reviEWed,ID,ID
2021-09-18T22:27:01.118Z,2021,31.59675394,-104.0007506,7.314135742,4.1,ml,21,63,0.076864733,0.2,TX,TX2021sitf,2021-10-16T23:34:33.179Z,"36 km NVW of Toyah, Texas",earthquake,1.009128868,1.150829363,0.2,8,reviEWed,TX,TX
2021-09-18T02:58:34.700Z,2021,33.8313333,-118.2636667,11.86,4.28,mw,181,60,0.03611,0.28,CA,CA39812319,2021-10-14T04:06:39.235Z,"2km E of CArson, CA",earthquake,0.17,0.25,,6,reviEWed,CA,CA
2021-09-09T21:57:56.520Z,2021,40.2705,-124.3813333,32.83,4.47,mw,23,229,0.03464,0.11,NC,NC73622771,2021-10-14T21:18:06.040Z,"10km SW of Petrolia, CA",earthquake,0.63,0.39,,3,reviEWed,NC,NC
2021-08-31T17:21:09.030Z,2021,40.8826,-114.974,7.48,4.7,mww,,13,0.243,0.97,ID,ID7000f6a0,2021-09-25T17:15:32.046Z,Nevada,earthquake,2.4,3.4,0.048,41,reviEWed,ID,ID
2021-08-31T16:09:56.600Z,2021,36.5781667,-121.1828333,8.54,4.05,mw,76,64,0.006776,0.12,NC,NC73618401,2021-10-05T13:39:50.040Z,"6km NW of PiNVacles, CA",earthquake,0.15,0.25,,4,reviEWed,NC,NC
2021-08-31T08:01:11.180Z,2021,40.2815,-124.4008333,32.36,4,mw,20,240,0.04509,0.14,NC,NC73618286,2021-10-06T18:37:01.040Z,"11km WSW of Petrolia, CA",earthquake,0.84,0.63,,4,reviEWed,NC,NC
2021-08-27T12:34:51.160Z,2021,35.5151667,-118.3791667,5.01,4,mw,94,31,0.1664,0.19,CA,CA40024128,2021-10-13T17:48:43.656Z,"13km SE of Bodfish, CA",earthquake,0.11,0.72,,6,reviEWed,CA,CA
2021-08-27T04:47:44.690Z,2021,38.5663333,-119.4211667,-1.92,4.37,mw,22,83,0.06336,0.12,NC,NC73615986,2021-10-06T18:22:05.040Z,"25km SSW of Smith Valley, NV",earthquake,0.25,0.42,,6,reviEWed,NC,NC
2021-08-23T14:57:23.620Z,2021,33.139,-115.6413333,7.16,4.04,mw,88,27,0.044,0.27,CA,CA40018784,2021-09-28T18:14:22.040Z,"12km N of Westmorland, CA",earthquake,0.18,0.49,,6,reviEWed,CA,CA
2021-08-13T11:57:34.970Z,2021,35.9163333,-84.8531667,0.17,4.3,mw,27,32,0.2706,0.44,SE,SE60133543,2021-09-16T17:59:36.040Z,"2 km ENE of Crab Orchard, TeNVesSEe",mine collapSE,0.84,4.51,,8,reviEWed,SE,SE
2021-07-28T15:28:04.029Z,2021,31.60871654,-104.2582124,6.260107422,4.3,ml,45,58,0.169711068,0.2,TX,TX2021orfg,2021-10-03T05:22:45.040Z,"54 km NW of Toyah, Texas",earthquake,0.775798032,1.056822548,0.2,26,reviEWed,TX,TX
2021-07-21T10:05:30.050Z,2021,40.2773333,-124.4131667,35.38,4.35,mw,29,230,0.05512,0.16,NC,NC73596726,2021-09-25T21:08:26.040Z,"12km WSW of Petrolia, CA",earthquake,0.77,0.54,,4,reviEWed,NC,NC
2021-07-20T20:50:02.296Z,2021,43.6224,-105.21,0,4,MN,,54,0.984,0.42,ID,ID6000exg9,2021-09-25T21:08:22.040Z,"26 km ESE of Wright, Wyoming",mining explosion,5.7,1.7,0.133,16,reviEWed,ID,ID
2021-07-18T06:46:12.650Z,2021,40.3235,-124.4255,30.91,5.12,mw,35,234,0.07243,0.17,NC,NC73594531,2021-10-17T06:56:22.601Z,"12km W of Petrolia, CA",earthquake,0.86,0.49,,6,reviEWed,NC,NC
2021-07-09T05:10:35.790Z,2021,38.5426667,-119.5293333,3.92,4.34,mw,53,92,0.0811,0.1,NC,NC73585531,2021-09-17T22:48:38.040Z,"28km SE of Markleeville, CA",earthquake,0.2,0.54,,3,reviEWed,NC,NC
2021-07-09T05:04:18.400Z,2021,38.5291667,-119.512,5.7,4.06,mw,50,92,0.06299,0.09,NC,NC73585526,2021-09-17T22:48:38.040Z,"30km SE of Markleeville, CA",earthquake,0.21,0.38,,3,reviEWed,NC,NC
2021-07-09T01:46:00.400Z,2021,38.5086667,-119.5343333,3.71,4.55,mw,48,88,0.07555,0.1,NC,NC73585291,2021-09-17T22:48:30.040Z,"30km SE of Markleeville, CA",earthquake,0.17,0.38,,5,reviEWed,NC,NC
2021-07-09T00:27:46.560Z,2021,38.4781667,-119.5103333,4.81,4.41,ml,25,71,0.06233,0.03,NC,NC73585141,2021-09-17T22:48:22.040Z,"32km ENE of Dardanelle, CA",earthquake,0.13,0.27,0.185,122,reviEWed,NC,NC
2021-07-08T23:58:53.570Z,2021,38.537,-119.524,5.83,4.24,mw,52,92,0.0748,0.1,NC,NC73585086,2021-09-10T20:07:00.040Z,"29km SE of Markleeville, CA",earthquake,0.18,0.37,,4,reviEWed,NC,NC
2021-07-08T23:33:40.900Z,2021,38.4796667,-119.5448333,1.58,4.63,mw,38,77,0.08722,0.08,NC,NC73585021,2021-09-10T20:06:58.040Z,"29km ENE of Dardanelle, CA",earthquake,0.12,0.53,,6,reviEWed,NC,NC
2021-07-08T22:59:45.260Z,2021,38.5128333,-119.5106667,6.74,4.31,ml,33,101,0.05749,0.09,NC,NC73584936,2021-09-10T20:06:54.040Z,"32km SE of Markleeville, CA",earthquake,0.21,0.32,0.193,115,reviEWed,NC,NC
2021-07-08T22:50:14.370Z,2021,38.5126667,-119.5021667,7.4,5.03,ml,6,124,0.05088,0.07,NC,NC71123379,2021-09-10T20:06:58.040Z,"32km SE of Markleeville, CA",earthquake,0.42,0.56,0.086,3,reviEWed,NC,NC
2021-07-08T22:49:48.110Z,2021,38.5075,-119.4998333,7.45,6,mw,42,100,0.04846,0.06,NC,NC73584926,2021-10-14T22:59:54.135Z,"Antelope Valley, CA",earthquake,0.14,0.25,,0,reviEWed,NC,NC
2021-06-12T04:49:38.280Z,2021,33.206,-115.656,2.62,4.06,mw,112,22,0.03614,0.25,CA,CA39936288,2021-09-10T01:07:08.704Z,"13km WSW of Niland, CA",earthquake,0.14,0.24,,6,reviEWed,CA,CA
2021-06-12T04:41:38.511Z,2021,33.2354,-115.6436,8,4.1407,mw,4,,,,EW,EW1623472898,2021-06-15T00:06:16.899Z,"11 km W of Niland, CAlifornia",earthquake,20.161,5,0.3982,4,automatic,EW,EW
2021-06-12T04:39:46.510Z,2021,33.2066667,-115.647,2.47,4.32,mw,91,23,0.03115,0.24,CA,CA39936192,2021-09-29T17:58:33.715Z,"12km WSW of Niland, CA",earthquake,0.16,0.28,,6,reviEWed,CA,CA
2021-06-07T21:08:28.590Z,2021,33.1666667,-115.64,5.34,4.08,mw,108,24,0.02198,0.29,CA,CA39928664,2021-09-05T14:40:18.996Z,"13km WNW of CAlipatria, CA",earthquake,0.16,0.38,,6,reviEWed,CA,CA
2021-06-05T18:21:48.750Z,2021,33.1513333,-115.6186667,7.06,4.09,mw,111,35,0.02619,0.27,CA,CA39919656,2021-08-24T21:35:19.040Z,"10km WNW of CAlipatria, CA",earthquake,0.16,0.38,,8,reviEWed,CA,CA
2021-06-05T17:57:21.900Z,2021,33.145,-115.6155,3.69,4.29,ml,76,41,0.03238,0.22,CA,CA39919400,2021-08-24T21:35:24.040Z,"10km WNW of CAlipatria, CA",earthquake,0.13,0.18,0.095,17,reviEWed,CA,CA
2021-06-05T17:55:58.820Z,2021,33.14,-115.6348333,5.78,5.25,mw,84,33,0.04069,0.23,CA,CA39919392,2021-10-16T18:06:03.346Z,"11km W of CAlipatria, CA",earthquake,0.17,0.41,,6,reviEWed,CA,CA
2021-06-05T17:45:16.380Z,2021,33.1375,-115.64,4.59,4.08,mw,105,29,0.04479,0.26,CA,CA39919248,2021-08-31T21:33:30.277Z,"11km N of Westmorland, CA",earthquake,0.14,0.4,,6,reviEWed,CA,CA
